Propellent atomic Mass [amu], Ionization Energy [eV], Dissociation Energy [eV], Anode Mass Flow Rate [SCCM], Discharge Voltage [V], Cathode Mass Flow Rate [SCCM], Cathode Keeper Voltage [V], Beam Current [A], Thrust [mN], Discharge Current [A], Electromagnetic Inner Coil Current [A], Electromagnetic Outer  Coil Current [A]
131.293,12.1,NaN,6.92,330,2.5,NaN,0.474981818,11.5,0.646,3.2,1.4
131.293,12.1,NaN,7.89,330,2.5,NaN,0.536072727,12.7,0.7,1.85,2.25
131.293,12.1,NaN,7.89,330,2.5,NaN,0.548727273,13.4,0.73,3.2,1.4
131.293,12.1,NaN,8,330,2.5,NaN,0.553309091,13.1,0.717,1.85,2.25
131.293,12.1,NaN,8,330,2.5,NaN,0.567490909,13.7,0.746,3.2,1.4
131.293,12.1,NaN,8.88,330,2.5,NaN,0.640363636,15.15,0.823,1.85,2.25
131.293,12.1,NaN,8.88,330,2.5,NaN,0.6432,15.5,0.839,3.2,1.4
131.293,12.1,NaN,9.87,330,2.5,NaN,0.738545455,17.45,0.94,1.85,2.25
131.293,12.1,NaN,9.87,330,2.5,NaN,0.739418182,18.05,0.953,3.2,1.4
131.293,12.1,NaN,10.85,330,2.5,NaN,0.809236364,19.6,1.059,1.85,2.25
131.293,12.1,NaN,10.85,330,2.5,NaN,0.794618182,19.95,1.072,3.2,1.4
131.293,12.1,NaN,11.84,330,2.5,NaN,0.916581818,22.05,1.187,1.85,2.25
131.293,12.1,NaN,11.84,330,2.5,NaN,0.894545455,22.45,1.2,3.2,1.4
131.293,12.1,NaN,6.92,370,2.5,NaN,0.458181818,11.5,0.622,1.85,2.25
131.293,12.1,NaN,6.92,370,2.5,NaN,0.472581818,12.05,0.66,3.2,1.4
131.293,12.1,NaN,7.89,370,2.5,NaN,0.548727273,13.85,0.732,1.85,2.25
131.293,12.1,NaN,7.12,250,2.5,NaN,0.466254545,9.2,0.591,1.85,2.25
131.293,12.1,NaN,7.12,250,2.5,NaN,0.473672727,9.75,0.623,3.2,1.4
131.293,12.1,NaN,8.14,250,2.5,NaN,0.554618182,10.95,0.701,1.85,2.25
131.293,12.1,NaN,8.14,250,2.5,NaN,0.567272727,11.7,0.735,3.2,1.4
131.293,12.1,NaN,8.65,250,2.5,NaN,0.605236364,12,0.764,1.85,2.25
131.293,12.1,NaN,8.65,250,2.5,NaN,0.613963636,12.75,0.789,3.2,1.4
131.293,12.1,NaN,9.16,250,2.5,NaN,0.641890909,13.1,0.819,1.85,2.25
131.293,12.1,NaN,9.16,250,2.5,NaN,0.642763636,13.75,0.841,3.2,1.4
131.293,12.1,NaN,10.17,250,2.5,NaN,0.7464,15.1,0.929,1.85,2.25
131.293,12.1,NaN,10.17,250,2.5,NaN,0.742909091,15.85,0.955,3.2,1.4
131.293,12.1,NaN,11.19,250,2.5,NaN,0.84,17.1,1.04,1.85,2.25
131.293,12.1,NaN,11.19,250,2.5,NaN,0.825818182,17.8,1.054,3.2,1.4
131.293,12.1,NaN,12.21,250,2.5,NaN,0.927927273,18.95,1.143,1.85,2.25
131.293,12.1,NaN,12.21,250,2.5,NaN,0.930545455,19.95,1.18,3.2,1.4
131.293,12.1,NaN,6.92,275,2.5,NaN,0.461672727,9.45,0.572,1.85,2.25
131.293,12.1,NaN,6.92,275,2.5,NaN,0.469527273,9.9,0.609,3.2,1.4
131.293,12.1,NaN,7.89,275,2.5,NaN,0.527127273,10.55,0.661,1.85,2.25
131.293,12.1,NaN,7.89,275,2.5,NaN,0.536290909,10.9,0.682,3.2,1.4
131.293,12.1,NaN,7.89,275,2.5,NaN,0.551345455,11.3,0.675,1.85,2.25
131.293,12.1,NaN,7.89,275,2.5,NaN,0.5592,11.85,0.717,3.2,1.4
131.293,12.1,NaN,7.89,275,2.5,NaN,0.546763636,11.2,0.671,1.85,2.25
131.293,12.1,NaN,7.89,275,2.5,NaN,0.558981818,11.95,0.723,3.2,1.4
131.293,12.1,NaN,7.89,275,2.5,NaN,0.546763636,12,0.735,3.2,1.4
131.293,12.1,NaN,8,275,2.5,NaN,0.558327273,11.35,0.683,1.85,2.25
131.293,12.1,NaN,8,275,2.5,NaN,0.570109091,12.1,0.728,3.2,1.4
131.293,12.1,NaN,8.88,275,2.5,NaN,0.637527273,13.1,0.776,1.85,2.25
